"court_alias","title","total_rows","min_dt","max_dt"
"arbitr-15aas","15 арбитражный апелляционный суд","2851","2022-10-03","2022-11-22"
"arbitr-16aas","16 арбитражный апелляционный суд","1614","2022-10-03","2022-11-30"
"arbitr-1aas","1 арбитражный апелляционный суд","1832","2022-10-03","2022-12-07"
"arbitr-fasmo","АС Московского округа","5820","2022-10-03","2022-12-15"
"arbitr-fassko","АС Северо-Кавказского округа","2088","2022-10-04","2022-12-15"
"arbitr-fasszo","АС Северо-Западного округа","3100","2022-10-03","2022-12-15"
"arbitr-fasvvo","АС Волго-Вятского округа","1435","2022-10-03","2022-12-08"
"arbitr-sip","Суд по интеллектуальным правам","1058","2022-10-03","2022-11-30"
"arbitr-stav","АС Ставропольского края","14270","2022-10-03","2022-12-15"
"arbitr-vs","Верховный суд РФ","99","2022-10-03","2022-12-07"
"krd-3ap","Третий апелляционный суд общей юрисдикции (Краснодарский край)","507","2022-09-09","2022-11-17"
"krd-4kas","Четвертый кассационный суд общей юрисдикции (Краснодарский край)","12296","2022-09-09","2022-12-15"
"krd-abi","Абинский районный суд (Краснодарский край)","873","2022-09-09","2022-11-24"
"krd-adl","Адлерский районный суд г. Сочи (Краснодарский край)","5326","2022-09-09","2022-12-15"
"krd-ang","Анапский городской суд (Краснодарский край)","2520","2022-09-09","2022-11-29"
"krd-anr","Анапский районный суд (Краснодарский край)","1474","2022-09-09","2022-11-24"
"krd-apsh","Апшеронский районный суд (Краснодарский край)","1040","2022-09-09","2022-11-17"
"krd-arm","Армавирский городской суд (Краснодарский край)","3793","2022-09-09","2022-12-15"
"krd-belog","Белоглинский районный суд (Краснодарский край)","275","2022-09-09","2022-11-14"
"krd-belor","Белореченский районный суд (Краснодарский край)","1522","2022-09-09","2022-12-01"
"krd-brux","Брюховецкий районный суд (Краснодарский край)","598","2022-09-09","2022-11-09"
"krd-din","Динской районный суд (Краснодарский край)","3429","2022-09-09","2022-12-15"
"krd-egs","Ейский городской суд (Краснодарский край)","1740","2022-09-09","2022-11-22"
"krd-ers","Ейский районный суд (Краснодарский край)","582","2022-09-09","2022-11-07"
"krd-gel","Геленджикский городской суд (Краснодарский край)","2691","2022-09-09","2022-12-12"
"krd-gor","Горячеключевской городской суд (Краснодарский край)","1133","2022-09-09","2022-12-05"
"krd-gulk","Гулькевичский районный суд (Краснодарский край)","810","2022-09-09","2022-11-09"
"krd-gvs","Краснодарский гарнизонный военный суд (Краснодарский край)","146","2022-09-09","2022-10-26"
"krd-host","Хостинский районный суд г. Сочи (Краснодарский край)","1449","2022-09-09","2022-12-05"
"krd-kks","Краснодарский краевой суд (Краснодарский край)","12579","2022-09-09","2022-12-14"
"krd-kln","Калининский районный суд (Краснодарский край)","1002","2022-09-09","2022-12-15"
"krd-knv","Каневской районный суд (Краснодарский край)","880","2022-09-09","2022-12-14"
"krd-kra","Красноармейский районный суд (Краснодарский край)","1076","2022-09-09","2022-11-17"
"krd-krl","Крыловской районный суд (Краснодарский край)","531","2022-09-09","2022-11-02"
"krd-krlnn","Ленинский районный суд г. Краснодара (Краснодарский край)","6406","2022-09-09","2022-12-09"
"krd-krn","Кореновский районный суд (Краснодарский край)","1277","2022-09-09","2022-11-30"
"krd-krokt","Октябрьский районный суд г. Краснодара (Краснодарский край)","2964","2022-09-09","2022-12-15"
"krd-krp","Кропоткинский городской суд (Краснодарский край)","1332","2022-09-09","2022-11-28"
"krd-krs","Кавказский районный суд (Краснодарский край)","507","2022-09-09","2022-11-09"
"krd-krymrs","Крымский районный суд (Краснодарский край)","1769","2022-09-09","2022-12-15"
"krd-kurg","Курганинский районный суд (Краснодарский край)","1120","2022-09-09","2022-11-20"
"krd-kusch","Кущевский районный суд (Краснодарский край)","507","2022-09-09","2022-11-22"
"krd-labgs","Лабинский городской суд (Краснодарский край)","892","2022-09-09","2022-11-15"
"krd-labrs","Лабинский районный суд (Краснодарский край)","459","2022-09-09","2022-11-17"
"krd-laz","Лазаревский районный суд г. Сочи (Краснодарский край)","1666","2022-09-09","2022-11-15"
"krd-lngr","Ленинградский районный суд (Краснодарский край)","729","2022-09-09","2022-11-28"
"krd-mst","Мостовской районный суд (Краснодарский край)","893","2022-09-09","2022-11-18"
"krd-ngvs","Новороссийский гарнизонный военный суд (Краснодарский край)","61","2022-09-09","2022-10-25"
"krd-nvk","Новокубанский районный суд (Краснодарский край)","837","2022-09-09","2022-12-12"
"krd-nvpkr","Новопокровский районный суд (Краснодарский край)","506","2022-09-09","2022-11-16"
"krd-nvrlnn","Ленинский районный суд г. Новороссийска (Краснодарский край)","768","2022-09-09","2022-12-01"
"krd-nvrsokt","Октябрьский районный суд г. Новороссийска (Краснодарский край)","2766","2022-09-09","2022-12-06"
"krd-otr","Отрадненский районный суд (Краснодарский край)","512","2022-09-09","2022-11-29"
"krd-pavl","Павловский районный суд (Краснодарский край)","817","2022-09-09","2022-11-17"
"krd-prax","Приморско-Ахтарский районный суд (Краснодарский край)","959","2022-09-09","2022-11-16"
"krd-prim","Приморский районный суд г. Новороссийска (Краснодарский край)","3190","2022-09-09","2022-12-06"
"krd-prkub","Прикубанский районный суд г. Краснодара (Краснодарский край)","10941","2022-09-09","2022-12-15"
"krd-prs","Первомайский районный суд г. Краснодара (Краснодарский край)","4607","2022-09-09","2022-12-14"
"krd-scherb","Щербиновский районный суд (Краснодарский край)","355","2022-09-09","2022-11-17"
"krd-sev","Северский районный суд (Краснодарский край)","2512","2022-09-09","2022-11-28"
"krd-sgs","Славянский городской суд (Краснодарский край)","1169","2022-09-09","2022-12-01"
"krd-sgvs","Сочинский гарнизонный военный суд (Краснодарский край)","6","2022-09-20","2022-10-14"
"krd-sochi","Центральный районный суд г. Сочи (Краснодарский край)","3595","2022-09-09","2022-11-29"
"krd-sov","Советский районный суд г. Краснодара (Краснодарский край)","7214","2022-09-09","2022-12-15"
"krd-srs","Славянский районный суд (Краснодарский край)","804","2022-09-09","2022-12-06"
"krd-star","Староминской районный суд (Краснодарский край)","416","2022-09-09","2022-11-09"
"krd-tbl","Тбилисский районный суд (Краснодарский край)","465","2022-09-09","2022-11-15"
"krd-temr","Темрюкский районный суд (Краснодарский край)","1900","2022-09-09","2022-12-14"
"krd-tihgs","Тихорецкий городской суд (Краснодарский край)","1111","2022-09-09","2022-12-05"
"krd-tihrs","Тихорецкий районный суд (Краснодарский край)","634","2022-09-09","2022-11-18"
"krd-tim","Тимашевский районный суд (Краснодарский край)","1750","2022-09-09","2022-12-06"
"krd-tuags","Туапсинский городской суд (Краснодарский край)","847","2022-09-09","2022-11-14"
"krd-tuars","Туапсинский районный суд (Краснодарский край)","703","2022-09-09","2022-11-14"
"krd-usp","Успенский районный суд (Краснодарский край)","459","2022-09-09","2022-11-11"
"krd-ustl","Усть-Лабинский районный суд (Краснодарский край)","1394","2022-09-09","2022-11-29"
"krd-vis","Выселковский районный суд (Краснодарский край)","1104","2022-09-09","2022-12-13"
"lenob-boks","Бокситогорский городской суд (Ленинградская область)","462","2022-10-03","2022-11-23"
"lenob-gatch","Гатчинский городской суд (Ленинградская область)","2583","2022-10-02","2022-12-15"
"lenob-king","Кингисеппский городской суд (Ленинградская область)","505","2022-10-03","2022-12-13"
"lenob-kirish","Киришский городской суд (Ленинградская область)","736","2022-10-03","2022-12-01"
"lenob-kirov","Кировский городской суд (Ленинградская область)","1662","2022-10-03","2022-12-15"
"lenob-lod","Лодейнопольский городской суд (Ленинградская область)","304","2022-10-03","2022-11-30"
"lenob-lom","Ломоносовский районный суд (Ленинградская область)","1862","2022-10-03","2022-12-15"
"lenob-luzh","Лужский городской суд (Ленинградская область)","950","2022-10-03","2022-11-22"
"lenob-obl","Ленинградский областной суд (Ленинградская область)","2927","2022-09-12","2022-11-30"
"lenob-podp","Подпорожский городской суд (Ленинградская область)","330","2022-10-02","2022-11-21"
"lenob-prio","Приозерский городской суд (Ленинградская область)","712","2022-10-03","2022-11-26"
"lenob-slan","Сланцевский городской суд (Ленинградская область)","555","2022-10-03","2022-11-30"
"lenob-sosn","Сосновоборский городской суд (Ленинградская область)","924","2022-10-03","2022-12-15"
"lenob-tihv1","Тихвинский городской суд (Ленинградская область)","278","2022-10-03","2022-12-01"
